Index,Name,Overall_Rating,Cuisine,Rate for two,City,Review
20,Xero Degrees,4,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,bakwas
21,Xero Degrees,4,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,"The staff is rude, they behave as if they are obliging on us & providing service & food for free. We ordered alfredo pasta, jain margarita pizza & fried wonton. Pasta & wonton were good but pizza was way to sweet. Upon confronting the staff their response was slow & made faces. They responded that we use ready-made sauces so it would taste sweet only in a rude way & didn't mention it at the time of placing the order. We do understand that servers are not responsible for taste of food but they should respond properly."
22,Cuppuccino,3.6,"Cafe, North Indian, Chinese, Mexican, Pizza, Pasta, Fast Food, Beverages",850,ahmedabad,very bad taste I hate it...it was not baked properly 
23,Core The Coffee Shop @ Lithosphere,3.8,"Pizza, Burger, Pasta, Oriental, Cafe, Shake, Beverages","2,000",ahmedabad,there were two thick strands of hair in my sandwich 
24,Core The Coffee Shop @ Lithosphere,3.8,"Pizza, Burger, Pasta, Oriental, Cafe, Shake, Beverages","2,000",ahmedabad,too late
25,Fyro,3,"Cafe, Coffee, Shake, Beverages",600,ahmedabad,"Worst service, the staff doesn’t hear your order well and then don’t even have the courtesy to talk to their customer well and get their order replaced.👎🏻"
26,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,Very bad salad. Stale refried chicken. Had not expected such bad quality food from this place. Tasted and then ordered something else from upper crust.
27,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,the rosti is undercooked and there is no spoon or fork. how to eat it in an office
28,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,More pieces of avocado and placement of pieces would be yumm 
29,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,Bad taste
30,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,Great delivery & quality
31,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,little overpriced may be due to zomato other than that it's good.
32,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,really poor food quality.... totally waste of money .I'll never suggest this to anyone 
33,Big Blue Bistro,-,"Cafe, Coffee, Shake, Beverages, Pizza, Fast Food, Chinese, North Indian","1,000",ahmedabad,it wasn't kathi roll at all .. it was Frankie 
34,Silver Fork Cafe & Restaurant,-,"North Indian, Chinese, Continental, Italian, Mexican, Cafe, Beverages",900,ahmedabad,"""I had an amazing experience at Silver Fork! The hotel's 5-star service truly exceeded my expectations. The dinner was outstanding, and the food was delicious - every dish was a culinary delight. . I recommend Silver Fork for anyone looking food good food"
35,Silver Fork Cafe & Restaurant,-,"North Indian, Chinese, Continental, Italian, Mexican, Cafe, Beverages",900,ahmedabad,"Food is very good. Ambience  is good. No waiting periode. Enough space to enjoy,  specially  suitable  for Birthday party,  Marriage Anniversary  party,  Angagement party etc. "
36,Lil' Heaven Cafe,3.5,"Cafe, North Indian, Italian, Sandwich, Beverages, Shake",950,ahmedabad,Pasta were a little too spicy. Please make less spicy food next time.
37,Lil' Heaven Cafe,3.5,"Cafe, North Indian, Italian, Sandwich, Beverages, Shake",950,ahmedabad,PoorI ordered jain & they delivered with onionsI used to try new things that’s why I ordered but disappointed
38,Wagh Bakri Tea Lounge,4,"Cafe, Beverages, Fast Food, Desserts, Tea","1,000",ahmedabad,very nice packing and food 
39,Wagh Bakri Tea Lounge,4,"Cafe, Beverages, Fast Food, Desserts, Tea","1,000",ahmedabad,Taking of way of this guy very bad to the zomato customer
40,Rasa Restro Cafe,4.1,"Cafe, North Indian, Italian, Mexican, Thai, Biryani, Desserts, Beverages","1,100",ahmedabad,add more creamy gravy in pasto pasta it's only pasta gravy are not there 
41,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,Very bad iced AmericanoDon’t order from here
42,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,Ordered from here thrice. I love what they offer. Price is very reasonable. They have shifted from Sindhu Bhavan Road to now opposite Alpha Mall. Order without a second thought.. 
43,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,There is no ice in peach iced tea in fact it is not even cold
44,Aarambh Cafe,-,"Cafe, Coffee, South Indian, Street Food",500,ahmedabad,"Nestled within the CEE campus in the Thaltej area of Ahmedabad, Café Aarambh offers a tranquil and serene ambience, providing a much-needed respite from the hustle and bustle of the city. While this café remains relatively unknown to many city dwellers, its peaceful atmosphere makes it a hidden gem worth discovering.However, when it comes to the culinary aspect, Café Aarambh falls short of expectations. The food offerings, unfortunately, do not match the serene ambience. The taste of the dishes is rather average, leaving much to be desired, especially considering the price one pays. The limited food options available might disappoint those looking for a diverse range of choices.One...read more"
45,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,"Extreme oily,  Veg puff was not at all fresh."
46,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,"The cake was stale, and the box's smell was coming."
47,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,"it's a good place and I can vouch for their cheesecakes but they cheat you, first of all their dine in price for cheesecake is 200 and in Zomato they show 300. I have Zomato gold and they would refuse me to pay through it by saying the Zomato 20% discount is only on menu but when you see their dining page, the first photo they have is of a cheesecake! hypocrisy? I love their cheesecakes but i don't like cheaters so I'd not go there again!"
48,Sphere Lounge - Hotel Ramada,4.2,"Cafe, North Indian, Chinese, Fast Food, Italian, Street Food, Sandwich, Panini",950,ahmedabad,must visit 
49,Sphere Lounge - Hotel Ramada,4.2,"Cafe, North Indian, Chinese, Fast Food, Italian, Street Food, Sandwich, Panini",950,ahmedabad,Very very expensive & Agli oily pasta were not good at all. Portion size was very small. I highly do not recommend to order from this place.
50,Smash Cafe,4.1,"Cafe, Fast Food, North Indian, Beverages",600,ahmedabad,Excellent food. Menu is extensive and seasonal to a particularly high standard. Highly recommended. 
51,Brewers - The Coffee Bar,3.9,"Cafe, Fast Food, Italian, North Indian, Mexican, Street Food, Salad, Beverages",350,ahmedabad,Half of the coffee was spilled in the bag.
52,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,due to unavailability my order was replaced to burger which was not also good.. aloo tikki burger's bun are grilled/heated on pan with ghee and as per the taste tikki felt like frozen tikki and not proper amount of sauces.
53,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,"Extremely less quantity according to the price, one person doing cooking, serving everything, thus too long waiting time. "
54,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,Worst
55,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,Won’t order from here again . Regret
56,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,"Recently visited this newly opened place near Vastrapur to try their food. I had tried their special Mocktail, Maxican sizzler, stuffed mushroom and sizzling hot brownie. Food was delicious and freshly made. They have some discount and BOGo offers going on for January month. Must check and take benefits of it.."
57,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,Best food!!!Thai was excellent as well as punjabi!!A must visit place for foodies!!!Nice and cozy place to sit with friends and family!!
58,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,A place to visit for food lovers in Ahmedabad . Such and appealing vibe the place had with delicious food by the side.They had one of the best North Indian food I hadAlso they have wide range of cuisines available along with unique starters from Indian to Italian and Mexican cuisineDo visit this place with your friends and familyMy recommendationThai curry with herb riceCheese balls
59,Shambhu's Coffee Bar,3.3,"Cafe, Shake, Beverages, Sandwich, Pizza, Fast Food, Desserts",500,ahmedabad,I went here for the second time with my husband; have ordered ‘Dark Fantasy’ and ‘Brownie with Coffee’ thik shakes. Both were good in taste - not amazing but regular in taste. The ambience is also average - they have indoor as well as outdoor sitting which are not much maintained. Even their Gpay was not working which was shocking and a downside.
60,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,Good vibes in this cafe. Liked food quality. Beverages are too good and worth trying. Open cafe with good music and sometimes events 
61,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,"Avoid visiting this place.They've been degrading with time.Food is creep, cringe.Just hyped somehow, totally avoid "
62,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,"Super friendly place with the best interior design and spacious enough to accommodate many at a time. Love the vibe it creates. Amazing items on the menu, best for nightlife in Ahmedabad 👌🏻"
63,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,vary small 
64,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,Good and Fresh staff members
65,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,Nice place for food and specially Location is nice and all shakes are awesome food is superb will inform to everyone visit this place onces.
66,Chai Hai Na,3.6,"Cafe, Fast Food, Street Food, Beverages",550,ahmedabad,I don't know but the original taste of badam chai is missing out since last 2 days.... not sure what's wrong
67,Chai Hai Na,3.6,"Cafe, Fast Food, Street Food, Beverages",550,ahmedabad,Badam shake is not good not bad. It's taste must be improve
68,Busy Beans,3.9,"Cafe, Beverages, Fast Food",500,ahmedabad,Pure coffee  beans test and delicious...Good quality and packaging...Must try Blueberry Orea Shake...And if Coffee  lover than order Hazelnut  cold coffee....
69,58 Cafe House,-,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,Sugarless coffee and not send with sugar totally wasted of money
70,58 Cafe House,-,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,Nice food 👍
71,58 Cafe House,-,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,worst chess used ... it's look like wee eat aata ..
72,Drunch,3.5,"Cafe, Coffee, Shake, Beverages, Pasta, Fast Food, Momos, Chinese",700,ahmedabad,so they were refusing to accept payment through Zomato.. our bill value wad 710 rupees but cafe owner saying that bill value should be 2000 or more fore making payment through Zomato. is this really a condition. This is not right at all.. 
73,Drunch,3.5,"Cafe, Coffee, Shake, Beverages, Pasta, Fast Food, Momos, Chinese",700,ahmedabad,"A perfect open air cafe in ahmedabad. Live IPL screening everyday. They have refreshing mocktails. I tried their mocktails, pizza, pasta, and bowl. Food was delicious and quality is also amazing. They have different different sitting arrangements. A perfect place for plan a date or hangout with your friends."
74,Cafe Cos,-,"Cafe, Coffee, Tea, Sandwich, Burger, Salad, Healthy Food, Beverages",750,ahmedabad,Coffee was very watery and tasteless
75,Cafe Cos,-,"Cafe, Coffee, Tea, Sandwich, Burger, Salad, Healthy Food, Beverages",750,ahmedabad,"If you're searching for a cafe that offers delicious, healthy alternatives to traditional pizza and pasta, look no further. 😍I recently had the pleasure of visiting a healthy cafe that prides itself on using multigrain and whole wheat ingredients in their pizza and pasta dishes. I must say, I was thoroughly impressed with both the quality of the food and the commitment to healthier options. Here's my detailed review:Ambiance:The cafe had a cozy and inviting atmosphere, with a modern yet warm decor. The use of natural materials and earthy colors created a pleasant dining environment. The seating arrangements were comfortable, and the staff was friendly and attentive, making for an...read more"
76,Cafe Cos,-,"Cafe, Coffee, Tea, Sandwich, Burger, Salad, Healthy Food, Beverages",750,ahmedabad,"I had brocoli soup previously from same restaurant, but today taste was totally different.it has more salt and pepper and some time it taste too salty and due to too much black pepper it made spicy "
77,Creamoholic Cafe,-,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad, superb quality and freshly made 
78,Creamoholic Cafe,-,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad,superb experience.  better than any Cafe.  bet for shakes and cold coffee.  I tried dine in also and food and ambiance was unmatched.  I recommend cold coffee shake and periperi fries. you can also taste pizza sandwich and burger average to best taste.
79,Creamoholic Cafe,-,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad,Garlic bread perfection  The Garlic Bread was a wonderful addition to my meal. The delivery was quick  and the bread arrived fresh and aromatic. 
80,Creamoholic Cafe,-,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad, Hub Chilli Burger  fiery treat for my taste buds. The delivery was quick and the burger was well-packed. The spicy patty  along with the fresh lettuce created a perfect balance of flavors
81,Shambhus Cafe,-,"Cafe, Fast Food",700,ahmedabad,Way taste was different as compared to prahladnagar garden cafe sambhus…most bogus literally iced crush was coming n last choclate topping was also too bad as if it was older one.
82,Shiva's Coffee Bar,-,"Cafe, Mexican, Pizza, South Indian, Chinese, Fast Food, Beverages, Coffee",700,ahmedabad,Wrong food item delivered.
83,Shiva's Coffee Bar,-,"Cafe, Mexican, Pizza, South Indian, Chinese, Fast Food, Beverages, Coffee",700,ahmedabad,nice i loved it 
84,Shiva's Coffee Bar,-,"Cafe, Mexican, Pizza, South Indian, Chinese, Fast Food, Beverages, Coffee",700,ahmedabad,good 
85,Food Costa,-,"Cafe, Coffee, Sandwich, Pizza, Burger, Fast Food, Shake, Beverages",650,ahmedabad,Food and packing both was pathetic
86,Food Costa,-,"Cafe, Coffee, Sandwich, Pizza, Burger, Fast Food, Shake, Beverages",650,ahmedabad,Not worth the cost. Taste was completely bland with 88% green capsicum 12% onion.
87,Food Costa,-,"Cafe, Coffee, Sandwich, Pizza, Burger, Fast Food, Shake, Beverages",650,ahmedabad,"quality was veryyy veryyyy bad, i’ll never order from this again"
88,Cafe After Hours,-,"Cafe, Coffee, Shake, Beverages, Italian, Fast Food, Chinese, North Indian",500,ahmedabad,I said medium spicy with please but very spicy. what the meaning of giving cooking instruction... really upsetting situation 
89,Cafe After Hours,-,"Cafe, Coffee, Shake, Beverages, Italian, Fast Food, Chinese, North Indian",500,ahmedabad,awesome food and packaging 
90,Edr Cafe,-,"Cafe, Italian, Fast Food, Beverages, Shake",350,ahmedabad,I went to have some food but that was bit costly then i asked for Jamun shots but manager replied that its seasonal. (bhai jamun ki season to chal rhi he) didnt argue n left.
91,Edr Cafe,-,"Cafe, Italian, Fast Food, Beverages, Shake",350,ahmedabad,WORST CAFE OF AHMEDABAD FOR SURE!
92,Tony Cafe,-,"Cafe, Sandwich, Burger, Pizza, Fast Food, Chinese, Shake, Beverages",700,ahmedabad,testy food new amazing food test
93,Tony Cafe,-,"Cafe, Sandwich, Burger, Pizza, Fast Food, Chinese, Shake, Beverages",700,ahmedabad,good 
94,Tony Cafe,-,"Cafe, Sandwich, Burger, Pizza, Fast Food, Chinese, Shake, Beverages",700,ahmedabad,Best food and place so good with dance place and food test of mumbai 😋 yummy best place in naroda so yummy
95,Cafe Kyzo,4.1,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Burger, Fast Food",600,ahmedabad,"The burgers are juicy, crisp, authentic and tasty, something i had been searching for a while. Definitely a perfect combo with fresh mocktails and coffee. Loved it."
96,The Avenue Cafe,3.6,"Cafe, Fast Food, Coffee, Beverages, Sandwich",600,ahmedabad,Black plastic found in chhole..image attached
97,The Avenue Cafe,3.6,"Cafe, Fast Food, Coffee, Beverages, Sandwich",600,ahmedabad,The best cafe in the town! The coffee is amazing and the atmosphere is so cozy. Highly recommend!
98,Ares Cafe,-,"Cafe, Fast Food, Sandwich, Pizza, Wraps, Chinese, Shake, Beverages",700,ahmedabad,Food quality was not good. Not found any paneer into the Panini
99,Ares Cafe,-,"Cafe, Fast Food, Sandwich, Pizza, Wraps, Chinese, Shake, Beverages",700,ahmedabad,All the food spilled in the bag. Similar review is already given by another customer few days back. Does zomato really care on feedback or is just a formality
100,Veronica's,3.2,Cafe,"1,500",mumbai,"I feel this place is overhyped because of Instagram. There is nothing special or different about this place. It’s just like many other cafés/restaurants. The menu is very similar to many other places. the food choice is EXTREMELY POOR. THE BEVERAGE MENU HAS MORE OPTIONS THAN THE FOOD MENU.  THE PLACE IS really small and the seating system is really bad too, they made us sit on a two person table when we were 3 of us and refused to give us a 4 person table and we sat pretty uncomfortably. Also the rates are very expensive just because of its location. The taste of food is also very basic and average. Usually when a place is expensive and the taste of the food is good, a person won’t...read more"
101,Veronica's,3.2,Cafe,"1,500",mumbai,"visited this place with my family, the food was good but the staff very annoying.He kept talking rudely and loudly  like he was doing us a favour by taking our order. He was later replaced by a normal polite guy, hence didn't complain.Guys please make a note of it!"
102,Veronica's,3.2,Cafe,"1,500",mumbai,Busted cold brew it was a mess it was spoilt is what I mean from this review I love their food but this takes away from it
103,Pune Baking Company - JW Marriott Pune,4.5,"Cafe, Sandwich, Desserts","1,300",pune,"Ordered their chocolate milkshake, chocolate frappe and strawberry milkshake and was super dissatisfied & disappointed.. super sweet, not really cold and honestly much better can be done at home. Did not really expect that. Chocolate croissant and butter croissant was excellent though."
104,Pune Baking Company - JW Marriott Pune,4.5,"Cafe, Sandwich, Desserts","1,300",pune,"Looked up for good bakeries around Pune and reached here. Ordered coffee, berry frappe , danish pastry. The coffee was good , dont remember the name of the brew. The berry frappe was worth 350 rs. And consisted of churned milk with vanilla ice cream and strawberry syrup with whipped cream on the top. I think regular shakes available in local joints tastes better than this. It was uber sweet and had no 'berry' whatsoever. Poor attempt at such a renowned hotel! The danish pastry was another disappointment. Topped with what seemed like stale mango shrikhand and cubes of stale mango, it was another bad outcome. We asked to talk to the chef but was not ultimately able to. Would NOT...read more"
105,Pune Baking Company - JW Marriott Pune,4.5,"Cafe, Sandwich, Desserts","1,300",pune,This place was one of our favourite once upon a time… but now it’s become beyond pathetic. The Blt sandwich had one piece of bacon and one piece of mini tomato and that’s it just bread…last time we also faced the same issue with the quality inspite of complaining they haven’t taken any action and argue with us that everything is right. We have been regular here for almost 12 years so it’s really dreadful experience…we will now discontinue going to this place and pass on this to our family friends as well. Guys really sad to see this 
106,The Ritz-Carlton Tea Lounge: The Ritz-Carlton,4.3,"Cafe, Tea, Desserts","2,000",pune,"The tea lounge is on the ground floor itself open hall area, dress code is none but smart casuals work (boys get your shoes on, girls can go for heels or sandals!)One should definitely go for the tea buffet packages which costs 825+ tax (9%), For unlimited beverages we tried most of the teas on menu (my personal fav being blue earl grey) and mocchiato coffee.The food is not unlimited though, it comes as shown in the photo, top layer of finger sandwiches three types (2 pieces of each) we opted for all three nonveg sandwiches which were present on the menu, I skipped ham so they replaced it with chicken sandwich luckily.The next two layers were sweet and savoury, again one piece of...read more"
107,The Ritz-Carlton Tea Lounge: The Ritz-Carlton,4.3,"Cafe, Tea, Desserts","2,000",pune,"Coffee, midnight talks, peace, wonderful service, comfort and what all can one experience. Addiction get rigid here and refusal to coffee is far gone."
108,The Ritz-Carlton Tea Lounge: The Ritz-Carlton,4.3,"Cafe, Tea, Desserts","2,000",pune,Yummmmm
109,The Ritz-Carlton Tea Lounge: The Ritz-Carlton,4.3,"Cafe, Tea, Desserts","2,000",pune,"Totally mesmerised by Ritz Carlton Tea Lounge Experience. We went on a weekday so it was less crowded. My husband opted for “Hi Tea” set buffet and I ala-carte. I can sense quality of food by its taste and aroma. They have wide range of coffee, tea and other cold beverages. Service was prompt and it was super neat & clean. I would love to visit again with my friends & family. "
110,The Ritz-Carlton Tea Lounge: The Ritz-Carlton,4.3,"Cafe, Tea, Desserts","2,000",pune,Ordered a cake got a kheer..🤯😰 disappointed. Plz secre the cake before dispatch and delivery guys should be extra carefull with the cake.
111,Le Coffee House,3.7,Cafe,350,pune,"no ventilation or air conditioning, lemon soda tasted like laundry water, stale shrunken fries from God knows what era, cold coffee tasted like thinned out mala's chocolate syrup. Bread bash next to it is a far better option and serves fresh fries"
112,Le Coffee House,3.7,Cafe,350,pune,Very few place in town who serve really good sandwich and coffee and le coffee house is one of it. There thick coffee and Bombay grilled sandwich are to die for. Really loved it.
113,Le Coffee House,3.7,Cafe,350,pune,Best Bombay Grilled Sandwich Ever! One Must Try It! Nice and Beautiful Ambience! And Staff was Quite Fast and Polite!
114,Le Flamington,4.9,"Cafe, European",700,pune,The review is late but I had to put it out here visited the cafe in July with two of my friends.It was Sunday and quite empty we had ordered signature ice dark which was amazing highly recommend cannot wait to be back just to have it again.The butter croissant was  amazing fresh.We had the Bombay sandwich and chicken sandwich the portion the taste everything was on point fresh.We had black forest cake and the grey which was unbelievable best deserts i ever had ❤️ Then we took the hand rolled Belgian and the one more chocolate which was freshly made for takeaway and it was amazing. Such a nice place cannot wait to be back
115,Le Flamington,4.9,"Cafe, European",700,pune,"the place is on the main road, ahead of Toit. The ambience is nice with light music. The decor is nice as well. Most tables are at a distance from each other. The menu is pretty decent. Service is good and food was really good. Ordered the The Le sandwich which had ham and beef, i felt that had too much bread with 2 layers but was filling and went well with the side of masala fries which were really good. The MOC omlette was nice and fluffy with a good filing of mushroom,cheese and olives and the sour dough. The cream cheese salad was the best thing we had called for. The leaves, mushroom, olives and cream cheese went very well with the sour dough.for drinks we called for drinking...read more"
116,Le Flamington,4.9,"Cafe, European",700,pune,The place is small but looks nice.The food was good. Be careful while selecting from the Vegan options though. Desserts are a must try!
117,Ventana,New,"North Indian, European, Continental, Asian, Fast Food, Cafe, Coffee, Beverages","1,200",pune,"I visited Ventana for my birthday celebration and it could not have been any better. The food, ambience and the hospitality was above our expectation. You should definitely try the Butter Garlic Prawns and the Pepper Chicken. This place is a must visit if you are looking for a cozy environment."
118,Ventana,New,"North Indian, European, Continental, Asian, Fast Food, Cafe, Coffee, Beverages","1,200",pune,Do yourself a favor and visit this lovely restaurant when you are in Vimannagar. The service is unmatched. The staff truly cares about your experience. The food is absolutely amazing – everything we tasted melted in other mouths. Absolutely the best meal we had while in. Highly recommend!
119,Ventana,New,"North Indian, European, Continental, Asian, Fast Food, Cafe, Coffee, Beverages","1,200",pune,Do yourself a favor and visit this lovely restaurant when you are in Vimananagar. The service is unmatched. The staff truly cares about your experience. The food is absolutely amazing – everything we tasted melted in other mouths. Absolutely the best meal we had while in. Highly recommend!
